area,item,type,location,status,evidence,tag
frontend,Leave Management has no role gate,landmine,frontend/src/components/layout/Sidebar.jsx:50,SHIPPED,no gate flag; App.jsx:188 RequireAuth only; server.js:206 requireAuth only,FACT
frontend,Adjustments tab writes balances directly,landmine,frontend/src/pages/LeaveManagement.jsx:604-656,SHIPPED,no approval step; reason not enforced :650,FACT
frontend,GatePasses.jsx,component,frontend/src/components/GatePasses.jsx,SHIPPED,quota breach override; dist confirmed,FACT
frontend,DayCalculation SL (Sick Leave) option,landmine,frontend/src/pages/DayCalculation.jsx:585,DRIFT,live write path for an abolished leave type; ships in dist,FACT
frontend,Settings sl_per_year policy key,landmine,frontend/src/pages/Settings.jsx:320,DRIFT,editable Sick Leave entitlement after abolition,FACT
frontend,payslipPdf SL line item,landmine,frontend/src/utils/payslipPdf.js:269,DRIFT,SL prints on payslips,FACT
frontend,SalaryComputation SL column means Short Leave,landmine,frontend/src/pages/SalaryComputation.jsx:614,DRIFT,bound to short_leave_days; collides with Sick Leave elsewhere,FACT
frontend,CalendarView renders no leave states,gap,frontend/src/components/ui/CalendarView.jsx:9-22,MISSING,"no CL/EL/SL/LWP/OD style, label or legend entry",FACT
frontend,Employees.jsx has no leave UI,gap,frontend/src/pages/Employees.jsx:6,DEAD,"getLeaveBalances/updateLeaveBalance imported, never used",FACT
frontend,no UI for accrual / lapse / CL init / ledger,gap,"frontend/src/utils/api.js:199,:200,:353",MISSING,helpers ship with zero callers,FACT
frontend,permissions.js enforced nowhere,landmine,backend/src/config/permissions.js,DEAD,requirePermission on 0 routes; getUserPermissions 0 consumers,FACT
frontend,HR 403s on opening Finance Audit,bug,"frontend/src/pages/FinanceAudit.jsx:1310,:1326",SHIPPED,badge query fires on mount; compensatoryOff.js:188 is finance-only,FACT
frontend,dist is current,status,frontend/dist/,SHIPPED,35/35 probe strings found; negative control validated,FACT
history,SL abolished,decision,commit 28c6029 (2026-04-16),SHIPPED,'SL abolished per Apr 2026 policy. New leave model is permanent-only CL+EL',FACT
history,CL = 7 DOJ-pro-rated,decision,commit 2e09606 (2026-04-16),SHIPPED,7/6/5/4/3/2 by effective join month,FACT
history,accrual restricted to Permanent,decision,commit 2e09606 (2026-04-16),SHIPPED,LEAVE_ELIGIBLE_TYPES=['Permanent'],FACT
history,2026-04-16 CLAUDE.md policy entry never merged,landmine,commit 796f34e on origin/claude/session-start-MEzoy,UNMERGED,session log jumps 2026-04-20 -> 2026-04-15; only prose record of the policy,FACT
history,CLAUDE.md:1420 contradicts shipped code,gap,CLAUDE.md:1420,DRIFT,documents 'A -> CL/EL/SL' vs leaves.js:354 rejection,FACT
history,26-day silent Stage-6 outage,incident,commit 8da6904 (2026-05-11),RESOLVED,"duty_days column absent; all 447 employees failed, masked by try/catch",FACT
history,leave subsystem frozen since 2026-04-16,status,git log per-file,FROZEN,~5 months; compensatoryOff.js never modified since birth,FACT
history,no unmerged branch adds leave source,status,git branch -r --no-merged origin/main,CONFIRMED,"85 unmerged; 1 touches a leave path, dist artifact only",FACT
history,no leave spec in docs/,gap,docs/,MISSING,policy exists only in commit messages and code docblocks,FACT
history,2026 reseed execution unconfirmed,open,backend/scripts/reseed-leave-balances-2026.js,UNCONFIRMED,no commit/log/doc records an --execute-after-review run,INFERENCE
history,LEAFS term not found,open,git log --all,NOT FOUND,0 hits across all refs,FACT
live,all live-data queries,status,docs/leave-inventory/parts/05-live.md,PENDING,SQL_CONSOLE_URL unset; key length 0; no local DB; no sqlite3,FACT
live,has EL accrual ever run in production,open,parts/05-live.md Q3,PENDING,single most important unanswered question in this audit,INFERENCE
